ord,TIME,LATITUDE,LONGITUDE,ALTITUDE,VEHICLE_ID,BAROMETRIC_PRESSURE,ENGINE_COOLANT_TEMP,FUEL_LEVEL,ENGINE_LOAD,AMBIENT_AIR_TEMP,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,MAF,TERM FUEL TRIM BANK 1,FUEL_ECONOMY,LONG TERM FUEL TRIM BANK 2,FUEL_TYPE,AIR_INTAKE_TEMP,FUEL_PRESSURE,SPEED,SHORT TERM FUEL TRIM BANK 2,SHORT TERM FUEL TRIM BANK 1,ENGINE_RUNTIME,THROTTLE_POS,DTC_NUMBER,TROUBLE_CODES,TIMING_ADVANCE,EQUIV_RATIO,aqui
1,"1,51E+12",-583.206.639,-3.520.573.159,42,control1,100,95,"56,10","43,10",4,816,39,"4,73",,,,,34,,,,"0,80",0:45:33,"21,20",MIL is OFF0 codes,,"52,90","1,00",
2,"1,51E+12",-583.206.639,-3.520.573.159,42,control1,100,95,"56,10","42,00",4,807,37,"4,73",,,,,34,,0,,"0,80",0:45:37,"21,60",MIL is OFF0 codes,,"52,50","1,00",
3,"1,51E+12",-583.201.429,-3.520.570.624,44,control1,100,94,"56,10","50,60",4,1559,37,"11,51",,,,,32,,9,,"-6,20",0:45:41,"29,80",MIL is OFF0 codes,,"56,90","1,00",
4,"1,51E+12",-5.831.937,-3.520.569.123,41,control1,100,93,"56,90","41,20",4,1692,46,"10,29",,,,,32,,10,,"3,10",0:45:45,"29,00",MIL is OFF0 codes,,"71,80","1,00",
5,"1,51E+12",-583.184.493,-3.520.559.225,46,control1,100,91,"56,90","55,70",4,863,52,"7,25",,,,,32,,11,,"4,70",0:45:49,"25,90",MIL is OFF0 codes,,"58,00","1,00",
6,"1,51E+12",-583.183.485,-3.520.548.621,47,control1,,90,"57,30","69,80",4,955,66,"9,2",,,,,32,,8,,"0,80",0:45:53,"27,50",MIL is OFF0 codes,,"60,40","1,00",
7,"1,51E+12",-583.182.818,-3.520.543.836,49,control1,100,90,"58,00","26,30",4,777,51,"9,39",,,,,32,,9,,"2,30",0:45:57,"29,80",MIL is OFF0 codes,,"46,30","1,00",
8,"1,51E+12",-58.318.184,-3.520.531.835,51,control1,100,90,"59,20","47,10",4,1549,41,,,,,,32,,13,,"-7,80",0:46:01,"29,40",MIL is OFF0 codes,,"69,00","1,00",
9,"1,51E+12",-583.184.651,-3.520.519.257,52,control1,100,89,"60,00","49,40",4,2106,43,"16,1",,,,,32,,12,,"1,60",0:46:05,"31,80",MIL is OFF0 codes,,"70,60","1,00",
10,"1,51E+12",-58.319.008,-3.520.507.015,52,control1,100,89,"60,00","62,40",4,1080,53,"9,48",,,,,32,,15,,"-1,60",0:46:09,"28,20",MIL is OFF0 codes,,"62,00","1,00",
11,"1,51E+12",-583.194.154,-3.520.489.761,53,control1,100,89,"60,40","61,20",4,1384,50,"12,41",,,,,31,,20,,"-3,90",0:46:13,"30,20",MIL is OFF0 codes,,"65,90","1,00",
12,"1,51E+12",-583.201.976,-3.520.471.768,54,control1,100,89,"60,80","56,50",4,1727,37,"14,34",,,,,32,,18,,"-2,30",0:46:17,"31,00",MIL is OFF0 codes,,"69,00","1,00",
13,"1,51E+12",-583.208.991,-3.520.452.347,54,control1,100,89,"60,40","61,20",4,934,54,"8,45",,,,,32,,20,,"3,90",0:46:21,"27,10",MIL is OFF0 codes,,"60,40","1,00",
14,"1,51E+12",-583.215.404,-3.520.430.514,54,control1,100,89,"60,00","63,50",4,1040,49,"9,5",,,,,32,,23,,"3,90",0:46:25,"28,20",MIL is OFF0 codes,,"61,20","1,00",
15,"1,51E+12",-583.224.181,-3.520.406.867,53,control1,100,89,"59,60","57,30",4,1204,48,"10,11",,,,,31,,28,,"-0,80",0:46:29,"28,60",MIL is OFF0 codes,,"63,10","1,00",
16,"1,51E+12",-583.235.435,-3.520.377.359,53,control1,100,89,"59,60","54,10",4,1464,20,"11,63",,,,,31,,33,,"4,70",0:46:33,"29,80",MIL is OFF0 codes,,"67,80","1,00",
17,"1,51E+12",-58.324.692,-352.034.775,52,control1,100,89,"58,80","20,80",4,1084,21,"3,67",,,,,33,,,,"6,20",0:46:37,"19,20",MIL is OFF0 codes,,"58,80","1,00",
18,"1,51E+12",-58.335.698,-3.520.184.102,46,control1,100,88,"58,40","21,60",4,1098,20,"3,81",,,,,33,,34,,"-0,80",0:46:41,"19,20",MIL is OFF0 codes,,"56,90","1,00",
19,"1,51E+12",-583.375.214,-3.520.159.614,46,control1,100,85,"56,50","38,00",4,1486,31,"8,33",,,,,32,,31,,"4,70",0:47:06,"26,70",MIL is OFF0 codes,,"71,00","1,00",
20,"1,51E+12",-583.394.806,-3.520.133.562,45,control1,100,85,"56,50","36,90",4,1569,27,"8,52",,,,,32,,32,,"0,80",0:47:10,"27,10",MIL is OFF0 codes,,"72,20","1,00",
21,"1,51E+12",-583.413.573,-3.520.108.263,45,control1,100,84,"56,10","30,20",4,1579,28,"7,09",,,,,32,,32,,"-3,90",0:47:14,"25,50",MIL is OFF0 codes,,"73,70","1,00",
22,"1,51E+12",-583.432.009,-3.520.084.685,45,control1,100,84,"56,10","31,80",4,1572,28,"7,1",,,,,32,,32,,"3,10",0:47:18,"25,50",MIL is OFF0 codes,,"73,30","1,00",
23,"1,51E+12",-583.451.733,-3.520.059.214,45,control1,100,83,"55,70","32,20",4,1570,29,"7,48",,,,,32,,32,,"1,60",0:47:22,"25,90",,,"72,90","1,00",
24,"1,51E+12",-583.472.461,-3.520.032.932,46,control1,100,83,"55,70","31,40",4,1589,27,"7,47",,,,,32,,,,"3,10",0:47:26,"25,90",,,"73,30","1,00",
25,"1,51E+12",-58.349.132,-3.520.004.358,45,control1,100,83,"55,70","32,20",4,1628,28,"7,6",,,,,32,,35,,"-2,30",0:47:30,"26,30",MIL is OFF0 codes,,"73,70","1,00",
26,"1,51E+12",-583.515.169,-3.519.975.909,44,control1,100,83,"55,70","22,40",4,1704,20,"4,37",,,,,32,,36,,"0,00",0:47:34,"22,00",MIL is OFF0 codes,,"74,90","1,00",
27,"1,51E+12",-583.536.954,-3.519.945.879,43,control1,100,82,"55,70","20,00",4,1204,19,"3,26",,,,,33,,37,,"6,20",0:47:38,"19,20",MIL is OFF0 codes,,"58,80","1,00",
28,"1,51E+12",-583.558.388,-3.519.920.546,38,control1,100,82,"55,70","20,80",4,1246,21,"3,38",,,,,33,,,,"16,40",0:47:42,"20,00",MIL is OFF0 codes,,"60,00","1,00",
29,"1,51E+12",-583.582.325,-351.989.021,37,control1,100,82,"55,70","18,80",4,1256,20,"3,59",,,,,33,,36,,"23,40",0:47:46,"20,40",MIL is OFF0 codes,,"60,00","1,00",
30,"1,51E+12",-583.604.678,-351.986.016,37,control1,100,82,"55,30","20,40",4,1207,20,"3,51",,,,,33,,34,,"11,70",0:47:50,"20,00",MIL is OFF0 codes,,"59,20","1,00",
31,"1,51E+12",-583.626.123,-3.519.833.432,37,control1,100,81,"55,30","22,00",4,1108,35,"3,57",,,,,33,,32,,"5,50",0:47:54,"19,20",MIL is OFF0 codes,,"56,90","1,00",
32,"1,51E+12",-583.645.382,-3.519.807.623,37,control1,100,81,"55,30","48,20",4,1064,43,"7,58",,,,,32,,,,"6,20",0:47:58,"26,30",MIL is OFF0 codes,,"64,30","1,00",
33,"1,51E+12",-583.664,-3.519.779.421,36,control1,100,81,"55,30","50,20",4,1078,44,"7,71",,,,,32,,33,,"3,90",0:48:02,"26,70",MIL is OFF0 codes,,"64,30","1,00",
34,"1,51E+12",-583.686.071,-3.519.754.541,36,control1,100,81,"55,30","49,40",4,1092,33,"7,81",,,,,32,,32,,"-2,30",0:48:06,"26,70",MIL is OFF0 codes,,"64,70","1,00",
35,"1,51E+12",-583.711.282,-3.519.733.828,38,control1,100,81,"55,30","18,00",4,1058,21,"3,08",,,,,33,,28,,"0,00",0:48:10,"18,40",MIL is OFF0 codes,,"65,90","1,00",
36,"1,51E+12",-583.734.396,-3.519.718.831,39,control1,100,81,"55,30","23,50",4,924,33,"3,46",,,,,34,,24,,"7,80",0:48:15,"18,80",MIL is OFF0 codes,,"65,90","1,00",
37,"1,51E+12",-583.755.172,-3.519.706.064,40,control1,100,81,"54,90","60,40",4,1212,48,"10,3",,,,,33,,28,,"-1,60",0:48:19,"29,00",MIL is OFF0 codes,,"61,20","1,00",
38,"1,51E+12",-583.778.873,-3.519.689.127,40,control1,100,80,"55,30","58,40",4,1443,21,"12,06",,,,,32,,33,,"-7,80",0:48:23,"30,20",MIL is OFF0 codes,,"67,50","1,00",
39,"1,51E+12",-583.807.305,-3.519.670.246,41,control1,100,80,"55,30","38,80",4,1097,40,"6,32",,,,,32,,34,,"3,10",0:48:27,"24,70",MIL is OFF0 codes,,"67,10","1,00",
40,"1,51E+12",-583.836.513,-3.519.650.388,41,control1,100,80,"55,30","44,30",4,1146,37,"7,28",,,,,32,,,,"3,90",0:48:31,"25,90",MIL is OFF0 codes,,"65,50","1,00",
41,"1,51E+12",-583.864.304,-3.519.629.755,43,control1,100,80,"55,30","44,70",4,1134,38,"7,18",,,,,32,,34,,"3,90",0:48:35,"25,90",MIL is OFF0 codes,,"65,50","1,00",
42,"1,51E+12",-583.892.708,-3.519.610.156,43,control1,100,80,"55,30","44,70",4,1124,39,"7,12",,,,,32,,34,,"-2,30",0:48:39,"25,50",MIL is OFF0 codes,,"65,50","1,00",
43,"1,51E+12",-583.921.584,-3.519.590.546,45,control1,100,80,"55,30","41,20",4,1115,19,"6,35",,,,,33,,33,,"3,10",0:48:43,,MIL is OFF0 codes,,"66,30","1,00",
44,"1,51E+12",-583.947.883,-3.519.572.058,46,control1,100,81,"55,30","19,60",4,1021,21,"2,77",,,,,33,,31,,"3,10",0:48:47,"18,40",MIL is OFF0 codes,,"65,50","1,00",
45,"1,51E+12",-583.968.607,-351.955.705,45,control1,100,81,"55,30","43,10",4,1251,57,"7,39",,,,,33,,27,,"6,20",0:48:51,"26,30",MIL is OFF0 codes,,"67,50","1,00",
46,"1,51E+12",-583.990.605,-3.519.545.196,42,control1,100,81,"55,70","69,00",4,1380,62,"14,05",,,,,32,,29,,,0:48:55,"31,00",MIL is OFF0 codes,,"65,10","1,00",
47,"1,51E+12",-584.016.223,-3.519.532.191,43,control1,100,81,"56,50","76,10",4,1481,64,"16,44",,,,,32,,30,,"-10,20",0:48:59,"32,20",MIL is OFF0 codes,,"64,70","1,00",
48,"1,51E+12",-584.046.098,-3.519.522.087,46,control1,100,81,"57,60","76,90",4,1484,63,"17,29",,,,,32,,30,,"-3,90",0:49:03,"32,50",MIL is OFF0 codes,,"65,10","1,00",
49,"1,51E+12",-584.073.958,-3.519.517.903,49,control1,100,81,"58,40","78,00",4,1523,65,"17,1",,,,,32,,,,"-3,10",0:49:07,"32,50",MIL is OFF0 codes,,"65,10","1,00",
50,"1,51E+12",-584.105.399,-3.519.515.568,50,control1,100,81,"58,80","77,60",4,1561,59,"17,64",,,,,32,,31,,"-3,10",0:49:11,"32,50",MIL is OFF0 codes,,"65,50","1,00",
51,"1,51E+12",-584.137.328,-3.519.515.973,52,control1,100,81,"59,20","68,20",4,1540,20,"13,69",,,,,32,,25,,"-0,80",0:49:15,"29,80",MIL is OFF0 codes,,"66,70","1,00",
52,"1,51E+12",-584.162.394,-3.519.517.144,54,control1,100,82,"59,20","18,80",4,1091,53,"3,25",,,,,33,,19,,"-2,30",0:49:19,"18,80",MIL is OFF0 codes,,"59,60","1,00",
53,"1,51E+12",-5.841.822,-3.519.516.927,54,control1,100,82,"58,80","74,10",4,980,55,"10,73",,,,,32,,27,,"4,70",0:49:23,"29,80",MIL is OFF0 codes,,"58,00","1,00",
54,"1,51E+12",-584.208.521,-3.519.519.265,54,control1,100,82,"58,80","48,60",4,1414,27,"8,62",,,,,33,,31,,"7,80",0:49:27,"25,90",MIL is OFF0 codes,,"66,70","1,00",
55,"1,51E+12",-584.240.143,-3.519.521.595,51,control1,100,82,"58,40","19,60",4,1060,21,"3,17",,,,,33,,34,,"7,80",0:49:31,"18,80",MIL is OFF0 codes,,"58,40","1,00",
56,"1,51E+12",-584.273.008,-3.519.531.667,50,control1,100,82,"58,00","22,70",4,1156,20,"3,58",,,,,33,,37,,"7,00",0:49:35,"19,60",MIL is OFF0 codes,,"56,90","1,00",
57,"1,51E+12",-584.303.969,-3.519.550.174,46,control1,100,82,"57,30","19,20",4,1245,20,"3,54",,,,,33,,39,,"14,10",0:49:39,"20,40",MIL is OFF0 codes,,"59,60","1,00",
58,"1,51E+12",-584.336.299,-3.519.573.439,45,control1,100,82,"56,90","19,20",4,1321,20,"3,73",,,,,33,,39,,"13,30",0:49:43,"20,80",MIL is OFF0 codes,,"61,60","1,00",
59,"1,51E+12",-584.478.098,-3.519.719.242,43,control1,100,82,"56,50","19,20",4,1260,21,"3,54",,,,,33,,33,,"14,10",0:49:47,"20,40",MIL is OFF0 codes,,"60,40","1,00",
60,"1,51E+12",-584.525.918,-3.519.774.194,42,control1,100,82,"56,10","14,10",4,996,23,"2,74",,,,,34,,34,,"6,20",0:50:21,"18,80",MIL is OFF0 codes,,"65,50","1,00",
61,"1,51E+12",-584.546.916,-3.519.798.903,43,control1,100,82,"56,10","26,30",4,930,24,"3,56",,,,,34,,33,,"-2,30",0:50:25,"19,20",MIL is OFF0 codes,,"62,70","1,00",
62,"1,51E+12",-584.568.815,-3.519.823.955,42,control1,100,82,"55,70","26,30",4,901,25,"3,37",,,,,34,,32,,"1,60",0:50:29,"19,20",MIL is OFF0 codes,,"60,80","1,00",
63,"1,51E+12",-584.590.923,-3.519.847.987,42,control1,100,82,"55,70","28,20",4,879,26,"3,41",,,,,34,,32,,"-3,90",0:50:33,"19,20",MIL is OFF0 codes,,"61,60","1,00",
64,"1,51E+12",-584.613.151,-3.519.872.861,42,control1,100,82,"55,70","27,10",4,872,26,"3,55",,,,,34,,,,"1,60",0:50:37,"19,20",MIL is OFF0 codes,,"61,60","1,00",
65,"1,51E+12",-584.634.955,-3.519.898.001,41,control1,100,82,"55,70","27,10",4,889,24,"3,5",,,,,35,,32,,"1,60",0:50:41,"19,20",MIL is OFF0 codes,,"61,20","1,00",
66,"1,51E+12",-584.656.824,-3.519.919.064,42,control1,100,82,"55,70","28,60",4,796,75,3,,,,,33,,31,,"2,30",0:50:45,"19,60",MIL is OFF0 codes,,"61,60","1,00",
67,"1,51E+12",-584.679.036,-3.519.941.299,41,control1,100,82,"56,10","92,50",4,1071,53,"14,61",,,,,33,,32,,"-4,70",0:50:49,"32,20",MIL is OFF0 codes,,"56,10","1,00",
68,"1,51E+12",-58.470.273,-3.519.966.512,40,control1,100,82,"56,50","63,90",4,1615,18,"15,19",,,,,32,,,,"-0,80",0:50:53,,MIL is OFF0 codes,,"68,20","1,00",
69,"1,51E+12",-584.720.868,-3.519.989.272,42,control1,100,82,"56,50","18,00",4,1514,21,"3,84",,,,,33,,25,,"0,00",0:50:57,"21,60",MIL is OFF0 codes,,"62,40","1,00",
70,"1,51E+12",-584.732.988,-3.520.005.396,40,control1,100,82,"56,10","33,30",4,806,33,"4,8",,,,,34,,,,"0,00",0:51:01,"22,00",MIL is OFF0 codes,,"67,50","1,00",
71,"1,51E+12",-5.847.368,-3.520.007.942,39,control1,100,82,"55,30","40,80",4,788,35,"4,36",,,,,34,,0,,"3,10",0:51:05,"20,80",MIL is OFF0 codes,,"54,10","1,00",
72,"1,51E+12",-5.847.368,-3.520.007.942,39,control1,100,82,"54,90","36,90",4,818,34,"4,38",,,,,34,,0,,"3,90",0:51:09,"20,40",MIL is OFF0 codes,,"54,50","1,00",
73,"1,51E+12",-5.847.368,-3.520.007.942,39,control1,100,82,"54,50","37,30",4,814,32,"4,07",,,,,34,,0,,"3,90",0:51:13,"20,40",MIL is OFF0 codes,,"57,60","1,00",
74,"1,51E+12",-5.847.368,-3.520.007.942,39,control1,100,82,"54,50","37,30",4,792,32,"4,1",,,,,35,,0,,"4,70",0:51:17,"20,40",MIL is OFF0 codes,,"54,90","1,00",
75,"1,51E+12",-5.847.368,-3.520.007.942,39,control1,100,82,"54,50","36,10",4,803,33,"4,26",,,,,35,,0,,"3,90",0:51:21,"20,40",MIL is OFF0 codes,,"56,90","1,00",
76,"1,51E+12",-5.847.368,-3.520.007.942,39,control1,100,83,"54,50","38,00",4,781,35,"4,13",,,,,35,,,,"3,90",0:51:25,"20,40",MIL is OFF0 codes,,"56,90","1,00",
77,"1,51E+12",-584.743.362,-3.520.011.108,41,control1,100,83,"54,50","40,80",4,797,24,"4,66",,,,,34,,12,,"-1,60",0:51:29,"21,20",MIL is OFF0 codes,,"55,30","1,00",
78,"1,51E+12",-584.752.727,-3.520.022.907,38,control1,100,83,"54,90","18,80",4,1062,36,"4,02",,,,,33,,16,,"-1,60",0:51:33,"22,00",MIL is OFF0 codes,,"58,40","1,00",
79,"1,51E+12",-584.768.459,-352.001.336,39,control1,100,83,"54,90","51,40",4,1356,46,"10,28",,,,,33,,23,,"-3,10",0:51:37,"29,00",MIL is OFF0 codes,,"67,10","1,00",
80,"1,51E+12",-584.785.944,-3.519.998.715,40,control1,100,83,"55,30","18,80",4,1227,55,"3,51",,,,,33,,26,,"-2,30",0:51:41,"20,00",MIL is OFF0 codes,,"65,10","1,00",
81,"1,51E+12",-58.480.709,-3.519.979.769,41,control1,100,83,"55,70","63,50",4,1342,33,"12,46",,,,,32,,30,,"-4,70",0:51:45,"30,20",MIL is OFF0 codes,,"65,50","1,00",
82,"1,51E+12",-584.827.783,-3.519.960.188,42,control1,100,83,"56,10","16,10",4,1401,21,"3,31",,,,,33,,25,,"7,80",0:51:49,"20,80",MIL is OFF0 codes,,"64,30","1,00",
83,"1,51E+12",-584.846,-3.519.950.365,41,control1,100,83,"55,70","20,40",4,1109,44,"2,95",,,,,34,,17,,"2,30",0:51:53,"18,80",MIL is OFF0 codes,,"58,40","1,00",
84,"1,51E+12",-584.859.578,-351.996.611,44,control1,100,84,"55,70","85,10",4,935,64,"11,55",,,,,33,,23,,"7,80",0:51:57,"30,60",MIL is OFF0 codes,,"58,00","1,00",
85,"1,51E+12",-584.879.246,-3.519.981.778,45,control1,100,84,"56,50","74,10",4,1187,58,"12,86",,,,,32,,27,,"-1,60",0:52:01,"30,60",MIL is OFF0 codes,,"60,00","1,00",
86,"1,51E+12",-584.901.602,-3.519.998.398,46,control1,100,84,"57,30","68,20",4,1359,55,"13,71",,,,,32,,29,,"-5,50",0:52:05,"31,00",MIL is OFF0 codes,,"65,10","1,00",
87,"1,51E+12",-584.924.552,-3.520.016.833,48,control1,100,,"57,60","62,40",4,1477,53,"13,74",,,,,32,,30,,"-5,50",0:52:09,"31,00",MIL is OFF0 codes,,"67,10","1,00",
88,"1,51E+12",-584.946.515,-3.520.035.938,50,control1,100,84,"58,00","63,10",4,1471,55,"13,61",,,,,32,,,,"-4,70",0:52:13,"31,00",MIL is OFF0 codes,,"67,10","1,00",
89,"1,51E+12",-584.969.482,-3.520.055.169,50,control1,100,84,"58,40","64,30",4,1477,40,"13,61",,,,,32,,30,,"-3,90",0:52:17,"31,00",MIL is OFF0 codes,,"67,10","1,00",
90,"1,51E+12",-584.994.059,-3.520.075.819,50,control1,100,84,"58,40","44,30",4,1509,19,"9,63",,,,,32,,,,"0,00",0:52:21,"27,10",MIL is OFF0 codes,,"69,80","1,00",
91,"1,51E+12",-585.015.953,-3.520.092.219,51,control1,100,84,"58,40","36,50",4,963,24,"4,04",,,,,33,,29,,"4,70",0:52:25,"18,40",MIL is OFF0 codes,,"49,80","1,00",
92,"1,51E+12",-58.503.897,-3.520.109.556,49,control1,100,84,"57,60","26,30",4,899,26,"3,16",,,,,34,,26,,"3,90",0:52:29,"18,80",MIL is OFF0 codes,,"63,10","1,00",
93,"1,51E+12",-585.059.671,-3.520.126.087,48,control1,100,84,"57,60","39,60",4,734,31,"4,41",,,,,34,,26,,"3,90",0:52:33,"20,00",MIL is OFF0 codes,,"56,90","1,00",
94,"1,51E+12",-585.081.028,-3.520.144.586,45,control1,100,84,"57,30","36,90",4,1348,30,"7,09",,,,,33,,30,,"7,00",0:52:37,"25,50",MIL is OFF0 codes,,"69,00","1,00",
95,"1,51E+12",-585.105.681,-3.520.164.559,45,control1,100,84,"56,90","33,70",4,1536,17,"7,63",,,,,33,,33,,"6,20",0:52:41,"25,90",MIL is OFF0 codes,4300,"72,50","1,00",
96,"1,51E+12",-585.129.249,-3.520.185.216,44,control1,100,84,"56,90","18,00",4,1570,20,"4,16",,,,,33,,30,,"0,00",0:52:45,"22,00",MIL is OFF0 codes,4300,"63,10","1,00",
97,"1,51E+12",-585.153.061,-3.520.203.511,43,control1,100,84,"56,50","18,00",4,1442,21,"4,01",,,,,33,,27,,"0,00",0:52:49,"21,20",MIL is OFF0 codes,,"61,60","1,00",
98,"1,51E+12",-585.173.202,-3.520.219.863,42,control1,100,83,"56,10","19,60",4,1282,20,"3,61",,,,,33,,23,,"3,90",0:52:53,"20,40",MIL is OFF0 codes,,"59,20","1,00",
99,"1,51E+12",-585.190.389,-3.520.234.434,43,control1,100,83,"56,10","20,80",4,1109,30,"3,66",,,,,33,,20,,"6,20",0:52:57,"19,20",MIL is OFF0 codes,,"56,50","1,00",
100,"1,51E+12",-585.205.946,-3.520.246.644,44,control1,100,83,"56,10","37,60",4,1001,34,"5,38",,,,,33,,20,,"3,10",0:53:01,"23,10",MIL is OFF0 codes,,"60,80","1,00",
101,"1,51E+12",-585.220.665,-3.520.258.354,44,control1,100,83,"56,10","40,40",4,964,33,"4,73",,,,,34,,,,"-2,30",0:53:05,"18,80",MIL is OFF0 codes,,,"1,00",
102,"1,51E+12",-585.228.548,-3.520.268.875,43,control1,100,83,"56,10","45,10",4,1004,29,"6,6",,,,,33,,9,,"3,10",0:53:10,"25,90",MIL is OFF0 codes,,"62,40","1,00",
103,"1,51E+12",-585.233.507,-352.027.255,44,control1,100,83,"56,10","38,00",4,782,36,"4,4",,,,,34,,0,,"-3,90",0:53:13,"20,40",MIL is OFF0 codes,,"60,80","1,00",
104,"1,51E+12",-585.233.507,-352.027.255,44,control1,100,84,"56,10","43,50",4,790,61,"4,68",,,,,33,,,,"-1,60",0:53:18,"21,20",,,"52,20","1,00",
105,"1,51E+12",-58.524.381,-3.520.282.276,45,control1,100,84,"57,30","62,70",4,1767,53,"16,79",,,,,32,,9,,"0,00",0:53:22,"32,20",MIL is OFF0 codes,,"68,20","1,00",
106,"1,51E+12",-585.256.785,-3.520.288.513,48,control1,100,84,"58,00","69,00",4,1183,19,"11,82",,,,,32,,17,,"0,80",0:53:26,"30,20",MIL is OFF0 codes,,"63,10","1,00",
107,"1,51E+12",-585.272.759,-3.520.283.781,48,control1,100,84,"57,60","43,10",4,831,41,"5,52",,,,,33,,9,,"3,10",0:53:30,"24,70",,,"62,70","1,00",
108,"1,51E+12",-585.280.807,-3.520.274.516,48,control1,100,84,"55,70","77,60",4,984,69,"14,86",,,,,32,,22,,"3,90",0:53:34,"32,50",,,"59,60","1,00",
109,"1,51E+12",-585.295.456,-3.520.255.427,48,control1,100,84,"56,50","29,40",4,1336,56,"12,26",,,,,32,,,,"4,70",0:53:38,"31,00",MIL is OFF0 codes,,"63,50","1,00",
110,"1,51E+12",-585.314.994,-3.520.231.124,48,control1,100,84,"56,90","62,00",4,1515,35,"13,87",,,,,32,,32,,"-7,00",0:53:42,"31,00",MIL is OFF0 codes,,"67,10","1,00",
111,"1,51E+12",-585.335.077,-3.520.204.364,47,control1,100,85,"56,90","80,00",4,1083,56,"12,14",,,,,32,,35,,"3,10",0:53:46,"30,60",MIL is OFF0 codes,,"60,00","1,00",
112,"1,51E+12",-585.356.135,-3.520.175.907,48,control1,100,85,"57,30","64,30",4,1187,49,"11,01",,,,,32,,36,,"0,00",0:53:50,"29,40",MIL is OFF0 codes,,"63,90","1,00",
113,"1,51E+12",-585.378.946,-3.520.146.778,48,control1,100,85,"57,30","51,40",4,1226,18,"8,4",,,,,32,,34,,"4,70",0:53:54,"27,10",MIL is OFF0 codes,,"65,10","1,00",
114,"1,51E+12",-58.539.949,-352.011.908,48,control1,100,85,"56,90","41,20",4,1100,40,"7,47",,,,,32,,34,,"0,00",0:53:58,"26,30",MIL is OFF0 codes,,"68,20","1,00",
115,"1,51E+12",-585.420.832,-3.520.091.861,47,control1,100,85,"56,90","45,50",4,1155,38,"7,73",,,,,32,,36,,"6,20",0:54:02,"26,30",MIL is OFF0 codes,,"65,50","1,00",
116,"1,51E+12",-5.854.465,-3.520.061.356,45,control1,100,85,"56,90","45,50",4,1244,20,"7,96",,,,,32,,37,,"0,00",0:54:06,"26,70",MIL is OFF0 codes,,"66,30","1,00",
117,"1,51E+12",-585.469.012,-3.520.033.848,45,control1,100,85,"56,90","37,30",4,1243,31,"6,62",,,,,32,,38,,"8,60",0:54:10,"25,10",MIL is OFF0 codes,,"68,60","1,00",
118,"1,51E+12",-585.491.725,-3.520.003.231,46,control1,100,84,"56,50","15,30",4,1252,35,"3,14",,,,,32,,38,,"7,00",0:54:14,"19,60",MIL is OFF0 codes,,"67,80","1,00",
119,"1,51E+12",-585.513.406,-3.519.971.579,45,control1,100,84,"56,50","39,60",4,1307,26,"7,71",,,,,32,,40,,"-0,80",0:54:18,"26,30",MIL is OFF0 codes,,"68,20","1,00",
120,"1,51E+12",-585.538.897,-3.519.939.592,45,control1,100,84,"56,50","18,00",4,1309,19,"3,4",,,,,32,,37,,"12,50",0:54:22,"20,40",MIL is OFF0 codes,,"60,80","1,00",
121,"1,51E+12",-585.561.878,-3.519.912.421,45,control1,100,83,"56,10","19,20",4,1176,20,"3,45",,,,,33,,,,"6,20",0:54:26,"19,60",MIL is OFF0 codes,,"59,20","1,00",
122,"1,51E+12",-585.581.622,-351.988.733,44,control1,100,83,"56,10","36,10",4,836,19,4,,,,,33,,31,,"6,20",0:54:30,"19,20",MIL is OFF0 codes,,"51,40","1,00",
123,"1,51E+12",-585.598.248,-3.519.867.289,43,control1,100,83,"56,10","18,00",4,1300,19,"3,5",,,,,33,,24,,"7,00",0:54:34,"20,40",MIL is OFF0 codes,,"62,70","1,00",
124,"1,51E+12",-585.613.924,-3.519.850.745,43,control1,100,83,"55,70","20,80",4,1160,48,"3,42",,,,,33,,24,,"1,60",0:54:38,"19,60",MIL is OFF0 codes,,"58,40","1,00",
125,"1,51E+12",-585.713.502,-3.519.726.551,45,control1,100,82,"55,70","53,70",4,1255,41,"9,93",,,,,33,,29,,"1,60",0:54:42,"28,60",MIL is OFF0 codes,,"62,00","1,00",
126,"1,51E+12",-585.754.829,-3.519.670.429,43,control1,100,82,"55,30","49,00",4,929,45,"6,59",,,,,32,,35,,"-1,60",0:55:05,"25,10",MIL is OFF0 codes,,"60,40","1,00",
127,"1,51E+12",-585.775.459,-351.964.378,41,control1,100,83,"55,30","49,80",4,956,32,"6,76",,,,,33,,,,"-2,30",0:55:09,"25,50",MIL is OFF0 codes,,"60,00","1,00",
128,"1,51E+12",-585.795.725,-351.961.681,41,control1,100,83,"55,30","23,90",4,933,27,"1,98",,,,,33,,31,,"0,80",0:55:13,"17,60",MIL is OFF0 codes,,"56,10","1,00",
129,"1,51E+12",-585.811.336,-3.519.591.338,40,control1,100,83,"54,90","47,50",4,1189,53,"11,04",,,,,32,,34,,"-3,10",0:55:17,"30,60",MIL is OFF0 codes,,"63,50","1,00",
130,"1,51E+12",-585.833.984,-3.519.561.956,40,control1,100,83,"55,30","62,70",4,1778,53,"16,6",,,,,32,,41,,"-7,80",0:55:21,"32,20",MIL is OFF0 codes,,"68,60","1,00",
131,"1,51E+12",-585.861.592,-3.519.526.452,37,control1,100,82,"56,10","61,20",4,2078,21,"19,28",,,,,32,,,,"0,00",0:55:25,"32,90",MIL is OFF0 codes,,"69,00","1,00",
